archetype,build,slot,unit,x,y,stance
line,MilDeepRally,1,BannerGuard,6.40,22.00,Hold
line,MilDeepRally,2,BannerGuard,18.20,22.00,Hold
line,MilDeepRally,3,BannerGuard,30.00,22.00,Hold
line,MilDeepRally,4,BannerGuard,41.80,22.00,Hold
line,MilDeepRally,5,BannerGuard,53.60,22.00,Hold
line,MilDeepRally,6,SpearGuard,6.75,17.00,Hold
line,MilDeepRally,7,SpearGuard,18.90,17.00,Hold
line,MilDeepRally,8,SpearGuard,31.05,17.00,Hold
line,MilDeepRally,9,SpearGuard,43.20,17.00,Hold
line,MilDeepRally,10,Knights,54.30,17.00,Advance
line,MilDeepRally,11,Knights,30.00,12.00,Advance
refused,MilDeepRally,1,BannerGuard,38.20,22.00,Advance
refused,MilDeepRally,2,BannerGuard,51.80,22.00,Advance
refused,MilDeepRally,3,BannerGuard,38.20,16.00,Advance
refused,MilDeepRally,4,BannerGuard,51.80,16.00,Advance
refused,MilDeepRally,5,BannerGuard,38.20,11.00,Advance
refused,MilDeepRally,6,SpearGuard,51.80,11.00,Advance
refused,MilDeepRally,7,SpearGuard,8.20,12.00,Hold
refused,MilDeepRally,8,SpearGuard,21.80,12.00,Hold
refused,MilDeepRally,9,SpearGuard,8.90,6.00,Hold
refused,MilDeepRally,10,Knights,22.15,6.00,Hold
refused,MilDeepRally,11,Knights,15.00,1.00,Raid
wings,MilDeepRally,1,BannerGuard,6.20,22.00,Advance
wings,MilDeepRally,2,BannerGuard,17.80,22.00,Advance
wings,MilDeepRally,3,BannerGuard,6.20,17.00,Advance
wings,MilDeepRally,4,SpearGuard,17.80,17.00,Advance
wings,MilDeepRally,5,SpearGuard,6.90,12.00,Advance
wings,MilDeepRally,6,Knights,18.15,12.00,Raid
wings,MilDeepRally,7,BannerGuard,42.20,22.00,Advance
wings,MilDeepRally,8,BannerGuard,53.80,22.00,Advance
wings,MilDeepRally,9,SpearGuard,42.20,17.00,Advance
wings,MilDeepRally,10,SpearGuard,53.80,17.00,Advance
wings,MilDeepRally,11,Knights,48.00,12.00,Advance
